en_id,en_slug,it_id,it_slug,method,note
5c1231d9-74e9-4ef4-8b4e-db11643a3e2c,making-cinema-heard-accessibility-and-hearing-loss-at-the-rome-film-festival,e0b26071-6cbb-409a-a947-3fb88f92a409,quel-regalo-al-pubblico,date_author,
5edaa6f3-5179-4772-b758-31b5bb4bd867,senza-alveare-a-natale,,,NO_MATCH,nessuna corrispondenza trovata
622f3bcc-bc6b-44c6-938a-96b88f1e75da,inclusive-catechesis-when-faith-becomes-tactile,,,NO_MATCH,nessuna corrispondenza trovata
64a3ae6f-b57b-4659-acef-a194a932b654,interactive-games-unforgettable-group-fun,,,NO_MATCH,nessuna corrispondenza trovata
64d19910-24bd-4994-9319-809a8ad0b0d0,humanitarian-corridors-a-lifeline-for-refugees-including-those-with-disabilities,,,NO_MATCH,nessuna corrispondenza trovata
6ecba6ee-97bd-49be-a050-2d39cd50ae92,stories-from-the-margins-at-the-rotterdam-festival,70a68071-ad21-4045-80ed-d07f85ad94bd,storie-ai-margini-dal-festival-di-rotterdam,date_author,
6efb3b28-567e-4045-a1d2-bf8fd0ca7354,between-voices-and-signs-when-language-shapes-connection,be2a9313-8240-4a84-8791-65f9fd3cdfb8,a-san-sebastian-il-silenzio-diventa-linguaggio,date_author,
72018c33-3be5-43a9-93d0-e59df3a47a90,the-stories-we-tell,,,NO_MATCH,nessuna corrispondenza trovata
74da053e-2196-4973-8295-5a9d074cc3c9,two-ways-of-pilgrimage-one-heart-of-faith,7a3e0e18-220c-473d-9880-1852c35e722c,in-pellegrinaggio-con-unitalsi-e-fede-e-luce,date_author,
7d1cb58a-37a6-4e59-8350-abb91b7d452f,diving-into-stories-but-never-alone,2b017cbb-c60b-4c31-9494-425723c6ba7d,tuffarsi-nelle-storie-ma-mai-da-soli,date_author,
7e118f17-a304-4859-a3a0-969f35e0c393,mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us,,,AMBIGUOUS_date_author,9 IT con stessa data+autore
7e4e1ba5-7ac1-48f7-a42e-b60788a01ca8,a-place-for-everyone-work-dignity-and-autism-at-autelier,9f4d6472-2956-443e-90c2-3852c6300ce9,dare-spazio-a-chi-non-ne-ha,date_author,
82536e3f-3ebc-4cc3-a24c-dd6b14db0ab7,a-light-in-pompei-a-journey-of-faith-and-friendship,449e140b-2396-4d23-9d10-0c7f102f95af,un-pellegrinaggio-significativo,date_author,
8843b92b-8d62-4d77-bfc9-c6d8ef28ef72,padel-for-autism-a-game-where-everyone-wins,949f3303-99f4-4e9b-a392-ea6ec8ae151d,scintilla-bellissima,date_author,
969e52c2-89c9-4625-bb90-6a137043d4bb,disney-my-way-a-summer-camp-full-of-joy-and-friendship,2c909606-60c0-46a9-af16-45bd7fcf7e49,che-bello-vedere-tanti-giovani,date_author,
a0e7d16e-aa1a-4fe3-bec5-ec170156eaa5,beyond-labels-what-lies-beneath-adjectives,6db93fd0-afed-4444-bed8-2b5abc40d26d,cosa-ce-sotto-gli-aggettivi,date_author,
ad75be0c-ed44-4046-9f5d-b3052d670c7c,no-longer-alone-a-mothers-journey-with-fede-e-luce,1ce2c467-2bf0-4b26-a70b-46e2cdc93437,quando-la-comunita-ti-viene-incontro,date_author,
b44ce207-79bb-46be-8910-c7b1ec1b9348,to-leave-or-to-stay-migration-in-the-films-of-venice-80,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
b9108d17-5e90-4909-98a9-cba5fb240852,22-fun-mini-games-to-play-together,a854c975-e1e5-415e-bccf-ffd25ba2eec3,catechesi-inclusiva-materiali-tattili,date_author,
ba84d335-1902-4c67-9ed1-3ef11699258a,working-at-the-restaurant-is-always-fun,f76318ba-72ac-4e87-96de-4266aeb55f03,se-sei-sola-invece-non-e-bello,date_author,
bdf5eb58-5117-4ef6-8875-d64e160d9fa2,from-that-closet,,,NO_MATCH,nessuna corrispondenza trovata
c24e1578-5018-4fc4-9510-b6bcdf0ac7bc,fanny-who-sees-a-future-for-herself,d2ae20ce-187f-4648-8aff-912e84c665c1,fanny-che-vede-un-futuro-per-se-stessa,date_author,
cb44e8a7-20d2-43d3-ad14-5497be4cd51c,edith-stein-and-the-courage-of-knowledge,9a2f372f-a692-4de8-8173-5fbf5732f7d2,il-grande-coraggio-di-edith-stein,date_author,
cda5c254-6333-4507-8f91-613587a7098e,fano-2018-the-best-of-our-youth,,,NO_MATCH,nessuna corrispondenza trovata
ce8b4c25-f9fa-46fa-a8fd-025f452f344e,i-made-this-movie-for-him-not-for-myself,fe6d5ecd-7046-4501-a86e-afc64de98a10,bobo-recensione-film,date_author,
cf14350a-e861-45df-94bb-75aad7d62967,we-are-dads-of-disabled-children-a-different-way-of-love,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
d27637d4-b07e-434e-9fd2-f4d67138a979,a-thousand-colors-on-stage-communities-in-motion-at-pompei,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
d384ccaa-b7e9-4d16-b70a-740216f654d4,stars-in-the-spotlight-stories-in-the-shadows-three-films-at-the-torino-film-festival,132a106d-229c-4b62-8e00-3142a366769c,torino-film-festival-tre-racconti-veri-si-distinguono-nonostante-la-troppa-attenzione-al-red-carpet,date_author,
d5f14f12-8f82-4ac1-89bb-9f76a148f9f8,in-the-storm-yet-not-alone,1f01f403-3b68-41cb-b23d-7855f32ef101,la-mia-traversata,date_author,
d89ab8f5-2595-443d-9a45-fb0d23f67341,three-lives-with-sabina-a-fathers-journey-through-darkness-hope-and-love,0ff97f78-a245-4722-b2fa-2846884a08df,tre-tappe-nella-mia-vita,date_author,
ddead178-3fcb-48be-9f3f-ca95cf9fa260,breaking-barriers-my-journey-as-an-autistic-actor,448ad485-799b-49c6-b2e6-efc6ca410acf,di-provini-porte-ed-energia,date_author,
e2bd911a-5102-4615-9b7d-2670498a40f1,the-magnificat-and-our-fragility,eb887f9c-6b5d-4673-a8e8-ffc9dcb966d2,in-cosa-ci-sentiamo-fragili-oggi,date_author,
e5490ffb-aea0-426a-ac49-2415995cd268,singing-my-way,a599a40a-1b6c-4b0d-b24c-e835585aa1c1,sono-molto-brava-a-cantare,date_author,
ea0b6597-7341-4690-b80f-0eaf6684d856,my-son-has-friends,796add14-3820-4eb1-bdd0-60e5b6e1e931,mio-figlio-ha-degli-amici,date_author,
eca7f463-456b-42b9-9583-dfe261d5f2e2,faith-and-light-at-fifty-a-journey-still-burning-bright,127506a0-aba2-44b1-b3bc-c935f95ed4d1,verso-pompei-per-i-50-anni-di-fede-e-luce-in-italia,date_author,
ecfc0de4-7208-4bfc-921c-60f5585bcb1f,museum-for-all,c7788573-724b-4c55-9425-75436255fbf5,museo-per-tutti,date_author,
f824078b-430d-47b6-8688-be5ff6fe755c,freedom-has-no-age,9d6ab57e-74f9-4be3-8ba9-69b4714e438c,27-notti-al-festival-di-san-sebastian-una-storia-di-liberta,date_author,
f863026e-c4b7-46a6-8f11-6b18e319103d,faith-and-light-a-journey-of-hope-beyond-disabilities,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
f961fe45-d25e-41fe-94f5-c1e258bcd4bd,ogni-tanto-salvo-senno-finisce-male,,,NO_MATCH,nessuna corrispondenza trovata
ffee08f5-54de-44a2-8df4-93ce0b7c45e7,transforming-lives-a-journey-of-hope-and-healing-in-the-heart-of-the-congo,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
